Dist|GV|Vcmb
53.7|4792|4576
48.98|5167|4900
70.15|5941|5669
49.43|5247|4979
128.23|8460|8307
89.95|6227|5953
70.47|5088|4816
19.14|1266|1232
4.25|288|436
71.12|3654|3383
69.5|6560|6290
49.43|6304|6032
44.87|6264|5995
74.82|4327|4057
77.98|5081|4811
27.16|1500|1428
89.95|6324|6054
69.18|3904|3635
23.99|875|950
55.72|5495|5226
21.38|1334|1327
74.82|4580|4311
65.16|6517|6248
58.61|4274|4005
62.52|5372|5103
79.8|7474|7205
66.99|6176|5908
121.9|6901|6733
73.11|5284|5016
70.15|4509|4241
94.62|6639|6479
93.33|4329|4061
5.22|411|499
27.67|2296|2168
52.48|2318|2051
76.56|6857|6590
23.66|1649|1615
69.82|5370|5102
52|3872|3801
92.47|6251|6103
62.52|5053|4786
78.7|4517|4250
65.77|4272|4006
109.65|6527|6263
31.19|2067|1984
20.04|1296|1318
105.68|7299|7115
166.72|10145|9942
17.46|1659|1681
73.11|6728|6463
12.08|1523|1470
147.23|9900|9748
19.68|1615|1631
79.8|5498|5237
53.7|5252|4994
22.7|1499|1450
42.46|3896|3636
80.91|5629|5510
127.64|8837|8674
16|1704|1725
173.78|12689|12660
25.7|1800|1728
73.45|6313|6054
16.9|899|997
73.79|3871|3613
19.59|1208|1215
138.68|9253|9095
24.55|1437|1390
51.52|5761|5505
19.95|1122|1075
18.71|1291|1312
95.5|7268|7099
22.08|2244|1983
20.7|1131|1148
22.7|1593|1548
57.02|4174|3921
13.87|1188|1086
20.42|1272|1280
18.62|1066|1068
20.8|1225|1247
172.98|10949|10944
19.23|1398|1422
